petname,pettype,petage
n/a,n/a,n/a
n/a,T,5
n/a,П,69
n/a,2,66666666666
n/a,&,n/a
n/a,YYY,5
n/a,ЯЯЯЯ,69
n/a,&&&&,66666666666
n/a,GWля2&,n/a
n/a,GGGGGGGGGGGGGGG,5
Y,T,69
Y,П,66666666666
Y,2,n/a
Y,&,5
Y,YYY,69
Y,ЯЯЯЯ,66666666666
Y,&&&&,n/a
Y,GWля2&,5
Y,GGGGGGGGGGGGGGG,n/a
Y,n/a,5
И,П,n/a
И,2,5
И,&,69
И,YYY,66666666666
И,ЯЯЯЯ,n/a
И,&&&&,5
И,GWля2&,n/a
И,GGGGGGGGGGGGGGG,5
И,n/a,69
И,T,66666666666
1,2,69
1,&,66666666666
1,YYY,n/a
1,ЯЯЯЯ,5
1,&&&&,n/a
1,GWля2&,5
1,GGGGGGGGGGGGGGG,69
1,n/a,66666666666
1,T,n/a
1,П,5
$,&,n/a
$,YYY,5
$,ЯЯЯЯ,n/a
$,&&&&,5
$,GWля2&,69
$,GGGGGGGGGGGGGGG,66666666666
$,n/a,n/a
$,T,5
$,П,69
$,2,66666666666
GGG,YYY,n/a
GGG,ЯЯЯЯ,5
GGG,&&&&,69
GGG,GWля2&,66666666666
GGG,GGGGGGGGGGGGGGG,n/a
GGG,n/a,5
GGG,T,69
GGG,П,66666666666
GGG,2,n/a
GGG,&,5
ИИИИ,ЯЯЯЯ,69
ИИИИ,&&&&,66666666666
ИИИИ,GWля2&,n/a
ИИИИ,GGGGGGGGGGGGGGG,5
ИИИИ,n/a,69
ИИИИ,T,66666666666
ИИИИ,П,n/a
ИИИИ,2,5
ИИИИ,&,n/a
ИИИИ,YYY,5
$$$$,&&&&,n/a
$$$$,GWля2&,5
$$$$,GGGGGGGGGGGGGGG,69
$$$$,n/a,66666666666
$$$$,T,n/a
$$$$,П,5
$$$$,2,n/a
$$$$,&,5
$$$$,YYY,69
$$$$,ЯЯЯЯ,66666666666
ДЖw1№,GWля2&,69
ДЖw1№,GGGGGGGGGGGGGGG,66666666666
ДЖw1№,n/a,n/a
ДЖw1№,T,5
ДЖw1№,П,n/a
ДЖw1№,2,5
ДЖw1№,&,69
ДЖw1№,YYY,66666666666
ДЖw1№,ЯЯЯЯ,n/a
ДЖw1№,&&&&,5
FFFFFFFFFFFFFFFFFFFFFFFFFFF,GGGGGGGGGGGGGGG,n/a
FFFFFFFFFFFFFFFFFFFFFFFFFFF,n/a,5
FFFFFFFFFFFFFFFFFFFFFFFFFFF,T,n/a
FFFFFFFFFFFFFFFFFFFFFFFFFFF,П,5
FFFFFFFFFFFFFFFFFFFFFFFFFFF,2,69
FFFFFFFFFFFFFFFFFFFFFFFFFFF,&,66666666666
FFFFFFFFFFFFFFFFFFFFFFFFFFF,YYY,n/a
FFFFFFFFFFFFFFFFFFFFFFFFFFF,ЯЯЯЯ,5
FFFFFFFFFFFFFFFFFFFFFFFFFFF,&&&&,69
FFFFFFFFFFFFFFFFFFFFFFFFFFF,GWля2&,66666666666
